ts_ms,coin,funding_rate,annualized_pct
1774533611000,ETH,1.1762e-06,1.0304
1774533602000,SOL,-3.429e-07,-0.3004
1774530011000,ETH,-1.7819e-06,-1.5609
1774530011000,SOL,-1.4786e-05,-12.9525
1774530006000,BTC,1.38954e-05,12.1724
1774526412000,ETH,1.9516e-06,1.7096
1774526412000,SOL,-1.74821e-05,-15.3143
1774526404000,BTC,1.6829e-05,14.7422
1774522811000,BTC,1.7167e-05,15.0383
1774522811000,ETH,5.2652e-06,4.6123
1774522808000,SOL,-1.3496e-05,-11.8225
1774519210000,ETH,3.4448e-06,3.0177
1774519204000,SOL,-1.25887e-05,-11.0277
1774519201000,BTC,1.87193e-05,16.3981
1774515619000,BTC,1.89884e-05,16.6338
1774515619000,ETH,2.9928e-06,2.6217
1774515619000,SOL,1.1775e-06,1.0315
1774512008000,BTC,1.75077e-05,15.3367
1774512008000,ETH,1.8737e-06,1.6413
1774512002000,SOL,1.80827e-05,15.8404
1774508407000,BTC,1.6526e-05,14.4768
1774508407000,ETH,3.6e-07,0.3153
1774508407000,SOL,1.282e-05,11.2303
1774504814000,ETH,-3.16e-06,-2.7681
1774504810000,SOL,2.07943e-05,18.2158
1774504808000,BTC,2.12023e-05,18.5732
1774501206000,BTC,2.21999e-05,19.4471
1774501206000,ETH,1.6401e-06,1.4368
1774501206000,SOL,2.76397e-05,24.2124
1774497616000,BTC,2.00001e-05,17.5201
1774497616000,ETH,4.4251e-06,3.8764
1774497616000,SOL,2.50335e-05,21.9293
1774494019000,BTC,2.08086e-05,18.2283
1774494019000,ETH,3.7386e-06,3.275
1774494008000,SOL,1.71596e-05,15.0318
1774490419000,BTC,1.92299e-05,16.8454
1774490419000,ETH,3.1683e-06,2.7754
1774490419000,SOL,6.9506e-06,6.0887
1774486808000,BTC,1.88627e-05,16.5237
1774486808000,ETH,4.3703e-06,3.8284
1774486808000,SOL,6.5489e-06,5.7368
1774483208000,BTC,1.93501e-05,16.9507
1774483208000,ETH,7.2391e-06,6.3414
1774483208000,SOL,-2.3956e-06,-2.0985
1774479617000,ETH,9.4535e-06,8.2813
1774479617000,SOL,-2.8838e-06,-2.5262
1774479615000,BTC,1.90592e-05,16.6959
1774476007000,BTC,2.56762e-05,22.4924
1774476007000,ETH,1.80161e-05,15.7821
1774476007000,SOL,-1.51773e-05,-13.2953
1774472416000,ETH,1.91245e-05,16.753
1774472413000,BTC,2.8805e-05,25.2332
1774472400000,SOL,-2.64701e-05,-23.1879
1774468816000,BTC,2.88129e-05,25.2401
1774468811000,ETH,2.34314e-05,20.5259
1774468805000,SOL,-3.54199e-05,-31.0278
1774465211000,BTC,1.97196e-05,17.2743
1774465211000,ETH,9.3676e-06,8.206
1774465211000,SOL,-1.60141e-05,-14.0283
1774461611000,BTC,1.52417e-05,13.3518
1774461611000,ETH,1.0891e-05,9.5405
1774461611000,SOL,-1.19014e-05,-10.4256
